T,DVT,CCT
2014-11-04T00:00:00.0,-0.010842505832485793,0.9987732756409938
2014-11-05T00:00:00.0,-0.0081143267516013,0.998698545597127
2014-11-06T00:00:00.0,-0.008415228856110618,0.9985168475949238
2014-11-07T00:00:00.0,-0.008836491802423666,0.9986609846368016
2014-11-08T00:00:00.0,-0.008655950539718075,0.9985792482910004
2014-11-09T00:00:00.0,-0.01270809888044357,0.9986465153782484
2014-11-10T00:00:00.0,-0.012647918459541706,0.9985667961231817
2014-11-11T00:00:00.0,-0.011564670883308158,0.9984264880740207
2014-11-12T00:00:00.0,-0.013430263931265935,0.998321630513532
2014-11-13T00:00:00.0,-0.011384129620602566,0.9983597573817851
2014-11-14T00:00:00.0,-0.011504490462406295,0.9982632395346431
2014-11-15T00:00:00.0,-0.009438296011442304,0.9982330542181954
2014-11-16T00:00:00.0,-0.009498476432344168,0.9980772027186017
2014-11-17T00:00:00.0,-0.011504490462406295,0.9980198790985526
2014-11-18T00:00:00.0,-0.009017033065129257,0.9980308804492789
2014-11-19T00:00:00.0,-0.009317935169638577,0.9980199456921651
2014-11-20T00:00:00.0,-0.011143407936995111,0.9980211113434019
2014-11-21T00:00:00.0,-0.0134904443521678,0.9980383627539209
2014-11-22T00:00:00.0,-0.013249722668560344,0.9980167167668867
2014-11-23T00:00:00.0,-0.01270809888044357,0.9976884781373303
2014-11-24T00:00:00.0,-0.016258743713653535,0.9977087344739676
2014-11-25T00:00:00.0,-0.015356037400125576,0.9979959725197017
2014-11-26T00:00:00.0,-0.015957841609144215,0.9979658199808765
2014-11-27T00:00:00.0,-0.016379104555457262,0.9978168528521646
2014-11-28T00:00:00.0,-0.016740187080868444,0.9978345346564677
2014-11-29T00:00:00.0,-0.01890668223333554,0.9979376905519884
2014-11-30T00:00:00.0,-0.0183048780243169,0.9980826376956614
2014-12-01T00:00:00.0,-0.019327945179648587,0.9979862492072753
2014-12-02T00:00:00.0,-0.01794379549890572,0.9981067576506715
2014-12-03T00:00:00.0,-0.017402171710788946,0.998021704014751
2014-12-04T00:00:00.0,-0.014994954874714394,0.9980289920283438
2014-12-05T00:00:00.0,-0.01601802203004608,0.9979883273427131
2014-12-06T00:00:00.0,-0.015295856979223713,0.9980751374631778
2014-12-07T00:00:00.0,-0.01433297024479389,0.9980690288679841
2014-12-08T00:00:00.0,-0.01433297024479389,0.9982113513937253
2014-12-09T00:00:00.0,-0.014573691928401349,0.9982983127235452
2014-12-10T00:00:00.0,-0.014393150665695754,0.998352493637565
2014-12-11T00:00:00.0,-0.013610805193971526,0.9984291738155929
2014-12-12T00:00:00.0,-0.012347016355032388,0.9984839344346558
2014-12-13T00:00:00.0,-0.013370083510364072,0.9985181362216264
2014-12-14T00:00:00.0,-0.01493477445381253,0.9984948476442097
2014-12-15T00:00:00.0,-0.01619856329275167,0.9984231860681341
2014-12-16T00:00:00.0,-0.01668000665996658,0.9983161386458319
2014-12-17T00:00:00.0,-0.016920728343574033,0.9982470343318864
2014-12-18T00:00:00.0,-0.015837480767340487,0.9983196059140059
2014-12-19T00:00:00.0,-0.015356037400125576,0.998406577708804
2014-12-20T00:00:00.0,-0.014633872349303212,0.9982933151586826
2014-12-21T00:00:00.0,-0.015596759083733031,0.9982030564185709
2014-12-22T00:00:00.0,-0.013309903089462208,0.9983646671622582
2014-12-23T00:00:00.0,-0.012828459722247297,0.9983693874183431
2014-12-24T00:00:00.0,-0.011263768778798838,0.9985433685955077
2014-12-25T00:00:00.0,-0.008595770118816211,0.9986754042164359
2014-12-26T00:00:00.0,-0.007933785488895709,0.9986977632710702
2014-12-27T00:00:00.0,-0.007271800858975208,0.9988537461877448
2014-12-28T00:00:00.0,-0.00666999664995657,0.9989772881197674
2014-12-29T00:00:00.0,-0.006850537912662161,0.9990456505834879
2014-12-30T00:00:00.0,-0.006790357491760298,0.9990829895458024
2014-12-31T00:00:00.0,-0.007452342121680799,0.9990662071659491
2015-01-01T00:00:00.0,-0.007873605067993845,0.9990663467294351
2015-01-02T00:00:00.0,-0.008415228856110618,0.9991010004900663
2015-01-03T00:00:00.0,-0.008475409277012482,0.9992241620603963
2015-01-04T00:00:00.0,-0.007993965909797573,0.9993936651435693
2015-01-05T00:00:00.0,-0.00588765117823234,0.9995071524948755
2015-01-06T00:00:00.0,-0.004563681918391337,0.9994722108400115
2015-01-07T00:00:00.0,-0.003961877709372699,0.999467527705137
2015-01-08T00:00:00.0,-0.002577728028629832,0.999497953083984
2015-01-09T00:00:00.0,-0.0008324958224757823,0.9995577382778248
2015-01-10T00:00:00.0,0.001414239891193799,0.9995026586002426
2015-01-11T00:00:00.0,0.0026178483092310747,0.9995205645860166
2015-01-12T00:00:00.0,0.0009327965239788887,0.9995985775756623
2015-01-13T00:00:00.0,-0.0010130370851813737,0.999696135892589
2015-01-14T00:00:00.0,-0.0018555629778074668,0.9997358925383364
2015-01-15T00:00:00.0,-0.0022768259241205133,0.9998056333110151
2015-01-16T00:00:00.0,-0.0010130370851813737,0.9997874263962269
2015-01-17T00:00:00.0,-0.0013741196105925566,0.9997675809364024
2015-01-18T00:00:00.0,0.00021063147315652326,0.9997779265872692
2015-01-19T00:00:00.0,-0.0019759238196111945,0.9997642187763413
2015-01-20T00:00:00.0,-0.0019157433987093304,0.9997367009843928
2015-01-21T00:00:00.0,-0.0024573671868261047,0.9997626808544232
2015-01-22T00:00:00.0,-0.0030591713958447427,0.9998051147298209
2015-01-23T00:00:00.0,0.0008124356821751612,0.9997822835524274
2015-01-24T00:00:00.0,0.002738209151034802,0.9996501515113095
