Date,PGV
2014-11-04,34672.4287
2014-11-05,18548.6260
2014-11-06,23553.3377
2014-11-07,44216.9456
2014-11-08,16315.3196
2014-11-09,24366.8880
2014-11-10,16.4658
2014-11-11,33794.2292
2014-11-12,23597.5077
2014-11-13,31217.1655
2014-11-14,36720.5823
2014-11-15,25301.4340
2014-11-16,17124.8775
2014-11-17,15755.7007
2014-11-18,12513.1794
2014-11-19,25494.1629
2014-11-20,26326.9501
2014-11-21,22135.3831
2014-11-22,39531.5139
2014-11-23,40530.8094
2014-11-24,54125.0856
2014-11-25,41352.8671
2014-11-26,32424.5042
2014-11-27,21398.1542
2014-11-28,37369.7944
2014-11-29,35270.6916
2014-11-30,34141.9882
2014-12-01,12354.9775
2014-12-02,18751.3951
2014-12-03,27878.0185
2014-12-04,21680.7536
2014-12-05,16867.4553
2014-12-06,18693.7192
2014-12-07,17498.4422
2014-12-11,1381.7668
2014-12-12,386716714.4429
2014-12-13,91122.3806
2014-12-14,621796.1292
2014-12-15,1349201.3367
2014-12-16,1658860.0225
2014-12-17,33906.9039
2014-12-18,29079.4185
2014-12-19,28094.0363
2014-12-20,72258.6527
2014-12-21,59590.8972
2014-12-22,44742.6138
2014-12-23,40583.6581
2014-12-24,81394.8147
2014-12-25,58513.3550
2014-12-26,40672.2616
2014-12-27,22804.4826
2014-12-28,24472.2954
2014-12-29,23232.7748
2014-12-30,40785.3027
2014-12-31,13322.2751
2015-01-01,9808.7393
2015-01-02,7437.1330
2015-01-03,26634.6392
2015-01-04,29214.5641
2015-01-05,28244.1478
2015-01-06,22931.7574
2015-01-07,27025.9285
2015-01-08,3876521.8642
2015-01-09,3515363.9617
2015-01-10,2990312.8569
2015-01-11,2413765.1144
2015-01-12,1875368.3432
2015-01-13,1082556.8404
2015-01-14,18381.1759
2015-01-15,108715.1356
2015-01-16,82328.4678
2015-01-17,2260112.8448
2015-01-18,3768132.6036
2015-01-19,3819497.3924
2015-01-20,4330245.6016
2015-01-21,5494320.5731
2015-01-22,4011690.5803
2015-01-23,4061614.6940
2015-01-24,3053628.3259
2015-01-25,131632.2074
2015-01-26,49628.8564
2015-01-27,2533717.9323
2015-01-28,2081162.4298
2015-01-29,100734.9360
2015-01-30,553575.0167
2015-01-31,2776608.3891
2015-02-01,3139142.3898
2015-02-02,3392663.7782
2015-02-03,3121910.4851
2015-02-04,95610.8526
2015-02-05,64166.7277
2015-02-06,3541612.0044
2015-02-07,2771989.0985
2015-02-08,2375990.6681
2015-02-09,19923711.5434
2015-02-10,13616147.2921
2015-02-11,63098.6547
2015-02-12,2076538.2238
2015-02-13,1473200.0140
2015-02-14,501391.3882
2015-02-15,2813693.3514
2015-02-16,3297409.8825
2015-02-17,513321.0893
2015-02-18,3166409.1338
2015-02-19,175476.5170
2015-02-20,4521965.4858
2015-02-21,4087742.2106
2015-02-22,3709306.0094
2015-02-23,2113229.3442
2015-02-24,2129840.0972
2015-02-25,977464.3902
2015-02-26,1282939.6633
2015-02-27,36467.1434
2015-02-28,2274237.1368
2015-03-01,2413638.7209
2015-03-02,3022583.4993
2015-03-03,5804.5392
2015-03-04,44042.0416
2015-03-05,2298082.4129
2015-03-06,358970.2156
2015-03-08,1960490.5737
2015-03-09,455055.5261
2015-03-10,2591138.1849
2015-03-11,1816545.9185
2015-03-12,1818387.7982
2015-03-13,1891328.1953
2015-03-14,1722455.9655
2015-03-15,2074386.5169
2015-03-16,2815242.3703
2015-03-17,3525404.2067
2015-03-18,3639952.0027
2015-03-19,849363.5408
2015-03-20,4666213.4998
2015-03-21,3836896.3811
2015-03-22,3522462.3409
2015-03-23,2642790.9558
2015-03-24,1403507.7778
2015-03-25,1162100.3473
2015-03-26,1845867.0106
2015-03-27,1789752.2058
2015-03-28,1763894.3889
2015-03-29,2022721.7828
2015-03-30,2498284.8660
2015-03-31,2754589.9098
2015-04-01,42438.8052
2015-04-02,1909427.7273
2015-04-03,1543741.1504
2015-04-04,61885.2172
2015-04-05,94587.5444
2015-04-06,67250.3515
2015-04-07,2611694.0347
2015-04-08,2672819.9237
2015-04-09,39735.2681
2015-04-10,57767.6053
2015-04-11,63670.8621
2015-04-12,473801.3339
2015-04-13,44767.4201
2015-04-14,2907451.3432
2015-04-15,569371.0068
2015-04-16,817887.5823
2015-04-17,116657.5940
2015-04-18,765865.3801
2015-04-19,85905.7127
2015-04-20,3696726.5399
2015-04-21,2759476.8639
2015-04-22,53985.6192
2015-04-23,185483.7158
2015-04-24,1324015.6545
2015-04-25,1645846.8150
2015-04-26,1528063.7750
2015-04-27,1836168.4735
2015-04-28,2159878.8200
2015-04-29,1164790.0392
2015-04-30,55056.8077
2015-05-01,3225917.7897
2015-05-02,3717465.2630
2015-05-03,4040645.1192
2015-05-04,2319345.9285
2015-05-05,1017560.1833
2015-05-06,3014400.7812
2015-05-07,2077694.2759
2015-05-08,2118473.9004
2015-05-09,660281.7636
2015-05-10,13860.1904
2015-05-11,81487.5902
2015-05-12,2283131.9142
2015-05-13,2929012.7248
2015-05-14,3500043.9684
2015-05-15,3853779.0816
2015-05-16,4392712.0637
2015-05-17,4812192.3934
2015-05-18,4384468.6986
2015-05-19,4481239.8665
2015-05-20,3351077.2432
2015-05-21,499756.5044
2015-05-22,1750635.3282
2015-05-23,1034877.1955
2015-05-24,1356078.7455
2015-05-25,884464.1531
2015-05-26,2049179.5070
2015-05-27,2309537.4707
2015-05-28,1983554.2902
2015-05-29,310128.9097
2015-05-30,2575981.5632
2015-05-31,835141.1809
2015-06-01,577167.4218
2015-06-02,4546076.0772
2015-06-03,48077.9365
2015-06-04,171304.2282
2015-06-05,2371583.1948
2015-06-06,1994767.7084
2015-06-07,2125112.3455
2015-06-08,1758792.0072
2015-06-09,2304579.9512
2015-06-12,284915.7045
2015-06-13,55230.4840
2015-06-16,121823.9393
2015-06-17,1129187.1269
2015-06-18,895757.5473
2015-06-19,2957603.1348
2015-06-20,2582439.6178
2015-06-21,1965496.8417
2015-06-22,2064766.5420
2015-06-23,1454090.0835
2015-06-24,1826872.7727
2015-06-25,2327687.2714
2015-06-26,1198825.8883
2015-06-27,20117.1131
2015-06-28,2958313.8010
2015-06-29,631427.2800
2015-06-30,1662130.7154
2015-07-01,3537.3561
2015-07-02,6234.6662
2015-07-03,12028.5015
2015-07-04,2939667.2551
2015-07-05,2643991.8910
2015-07-06,602580.4765
2015-07-07,2241174.1320
2015-07-08,525445.5145
2015-07-09,2445439.2805
2015-07-10,3349273.4149
2015-07-11,3107477.2928
2015-07-12,23353.0659
2015-07-13,3928086.9397
2015-07-14,4712906.1591
2015-07-15,4830926.3672
2015-07-16,4153774.4486
2015-07-17,3776912.3947
2015-07-18,639646.1592
2015-07-19,17264.7574
2015-07-20,2072574.4462
2015-07-21,2283487.1781
2015-07-22,1998627.1688
2015-07-23,1621030.4038
2015-07-24,92016.9056
2015-07-25,44121.5811
2015-07-26,1999218.8271
2015-07-27,87884.2253
2015-07-28,1751304.1040
2015-07-29,2451638.2722
2015-07-30,58628.7895
2015-07-31,37791.0135
2015-08-01,97621.6533
2015-08-02,3273924.6550
2015-08-03,915514.3590
2015-08-04,8774.0055
2015-08-05,2916924.1807
2015-08-06,2967689.5856
2015-08-07,2799499.0751
2015-08-08,2533003.8010
2015-08-09,2719829.6679
2015-08-10,422316.7038
2015-08-11,440434.1830
2015-08-12,4463959.9394
2015-08-13,3581929.4189
2015-08-14,2130565.2385
2015-08-15,66346.8462
2015-08-16,2955189.5727
2015-08-17,183678.2371
2015-08-18,2873603.9317
2015-08-19,348938.4570
2015-08-20,2380286.6738
2015-08-21,22101.1855
2015-08-22,18128.2323
2015-08-23,936910.4913
2015-08-24,51649.7454
2015-08-25,2884750.9619
2015-08-26,3639692.8041
2015-08-27,3730365.3931
